created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Mar 27 22:47:07 +0000 2023,1640485629917274113,"FIFA Tetap Inspeksi ke Stadion-stadion Piala Dunia U-20 Meski Drawing Batal via @@viral_sumsel https://t.co/SHRSPNwDqr",0,0,0,0,in,1202119520262819841,1640485629917274113,viral_sumsel,https://twitter.com/viral_sumsel/status/1640485629917274113
Mon Mar 27 22:45:00 +0000 2023,1640485095818801152,"Pembatalan drawing Piala Dunia U-20 2023 berdampak ke mana-mana. Satu di antaranya adalah kejelasan pemusatan latihan (TC) Timnas Indonesia U-20 di Korea Selatan.  #U20WorldCupEMTEK #U20WorldCupKLY #U20WorldCupBolacom  https://t.co/2TcCDaSo8J",0,0,0,1,in,1486284086,1640485095818801152,bolacomID,https://twitter.com/bolacomID/status/1640485095818801152
Mon Mar 27 22:42:03 +0000 2023,1640484355675131904,"Gubernurnya Tolak Israel, PSSI Bali: Semoga Indonesia Tetap Jadi Tuan Rumah Piala Dunia U-20 https://t.co/hSqonHBIxS",4,11,7,13,in,71436318,1640484355675131904,KompasTV,https://twitter.com/KompasTV/status/1640484355675131904
Mon Mar 27 22:39:09 +0000 2023,1640483625815744512,"Sudah 2 Negara Siap Gantikan Indonesia sebagai Tuan Rumah Piala Dunia U-20 https://t.co/oioDO9lhtA",0,0,7,7,in,1229518084773277698,1640483625815744512,MediaKomando,https://twitter.com/MediaKomando/status/1640483625815744512
Mon Mar 27 22:38:34 +0000 2023,1640483478935580674,"Drawing Piala Dunia U-20 2023 Resmi Dibatalkan, Arya Sinulingga: Tidak Bisa Dilaksanakan https://t.co/IGZvTXUxDo",0,0,7,6,in,1229518084773277698,1640483478935580674,MediaKomando,https://twitter.com/MediaKomando/status/1640483478935580674
Mon Mar 27 22:38:24 +0000 2023,1640483434484346880,"Berbagai upaya terus dilakukan agar penyelenggaraan Piala Dunia U-20 2023 tetap berlangsung di Indonesia. Konsekuensi berat menanti bila Indonesia batal menjadi tuan rumah ajang tersebut.  https://t.co/2XUZLrYuRc   #Olahraga #AdadiKompas",0,0,0,1,in,255866913,1640483434484346880,hariankompas,https://twitter.com/hariankompas/status/1640483434484346880
Mon Mar 27 22:36:03 +0000 2023,1640482845276930048,"PSSI akhirnya memberikan respons terkait isu yang menyebutkan bahwa status tuan rumah Indonesia dalam Piala Dunia U-20 beralih ke Peru, menyusul pembatalan pengundian grup yang semestinya diadakan pada 31 Maret di Bali. Anggota Executive Committee PSSI,… https://t.co/fNtkdHNwcF",0,0,0,1,in,46693036,1640482845276930048,inilahdotcom,https://twitter.com/inilahdotcom/status/1640482845276930048
Mon Mar 27 22:35:46 +0000 2023,1640482773613027328,"Sejumlah Organisasi Tolak Timnas Israel Tampil di Piala Dunia U-20 di Indonesia #LengkapCepatBeritanya #BeritaTerkini #Berita #News #BeritaNasional . https://t.co/Ytw9jPychW",0,0,0,3,in,47274731,1640482773613027328,okezonenews,https://twitter.com/okezonenews/status/1640482773613027328
Mon Mar 27 22:33:37 +0000 2023,1640482230127722496,"Penolakan datang dari pejabat publik, partai politik, dan sejumlah elemen lainnya. Keadaan ini menimbulkan spekulasi bahwa Indonesia bisa mendapatkan sanksi oleh FIFA, apabila Piala Dunia U-20 batal terlaksana.",0,1,1,6,in,1175357460468490251,1640481911134117888,FandomID_,https://twitter.com/FandomID_/status/1640482230127722496
Mon Mar 27 22:33:29 +0000 2023,1640482196829122562,"Bawaslu harus pantengin nih... Isu Israel-Palestina semakin ramai menghiasi gelaran Piala Dunia U-20 di Indonesia.  Kita poling aja, yang setuju Israel tetep main di pildun U20 RETWEET, yg gak setuju LIKE  #JanganGolput https://t.co/O0S3sElink",0,3,23,28,in,1531341312166723585,1640482196829122562,satupersepsi,https://twitter.com/satupersepsi/status/1640482196829122562
Mon Mar 27 22:32:39 +0000 2023,1640481990989471744,"Undian fase grup Piala Dunia U-20 2023 seharusnya digelar di Bali pada tanggal 31 Maret 2023. Agenda tersebut urung terlaksana, setelah terjadi penolakan terhadap keikutsertaan Timnas Israel U-20 di Piala Dunia edisi kali ini.",0,1,1,7,in,1175357460468490251,1640481911134117888,FandomID_,https://twitter.com/FandomID_/status/1640481990989471744
Mon Mar 27 22:32:20 +0000 2023,1640481911134117888,"Indonesia harus kembali berurusan dengan FIFA, setelah drawing fase grup Piala Dunia U-20 2023 batal terlaksana. Jika sampai Piala Dunia U-20 juga batal digelar nantinya, apakah itu berarti kita tinggal menunggu sanksi FIFA untuk Indonesia?   Sebuah utas. https://t.co/qZEcCE9qcQ",0,4,15,69,in,1175357460468490251,1640481911134117888,FandomID_,https://twitter.com/FandomID_/status/1640481911134117888
Mon Mar 27 22:31:00 +0000 2023,1640481572561489922,"Upaya ekstra dilakukan Indonesia agar penyelenggaran Piala Dunia U-20 2023 tetap digelar sesuai jadwal tanpa ada perubahan. Menurut sumber dari lingkar dalam PSSI, Erick Thohir terbang ke Zurich Rabu.  #U20WorldCupEMTEK #U20WorldCupKLY #U20WorldCupBolacom  https://t.co/PPXlloJ6dR",0,1,0,0,in,1486284086,1640481572561489922,bolacomID,https://twitter.com/bolacomID/status/1640481572561489922
Mon Mar 27 22:30:59 +0000 2023,1640481571278028800,"BEM PTNU Tolak Kedatangan Israel pada Piala Dunia U-20: Penjajahan di Atas Dunia Harus Dihapuskan! https://t.co/ZRP5RcW5zj",0,2,9,9,in,1229518084773277698,1640481571278028800,MediaKomando,https://twitter.com/MediaKomando/status/1640481571278028800
Mon Mar 27 22:30:03 +0000 2023,1640481336577380353,"India Disebut Siap Jadi Tuan Rumah Piala Dunia U-20, Langsung Dicibir Warganet Indonesia https://t.co/pbyOrzkCN1",0,0,0,2,in,47596019,1640481336577380353,liputan6dotcom,https://twitter.com/liputan6dotcom/status/1640481336577380353
